Name,Ticker Data,Ticker
North American Financial 15 Split Corp-,FFN,FFN.TO
US Financial 15 Split Corp-,FTU,FTU.TO
VerticalScope Holdings Inc-,FORA,FORA.TO
Augusta Gold Corp-,G,G.TO
BMTC Group Inc-,GBT,GBT.TO
Canada Goose Holdings Inc-,GOOS,GOOS.TO
CGI Inc-,GIB-A,GIB-A.TO
Colabor Group Inc-,GCL,GCL.TO
Galaxy Digital Holdings Ltd-,GLXY,GLXY.TO
Galiano Gold Inc-,GAU,GAU.TO
Gamehost Inc-,GH,GH.TO
"Gatos Silver, Inc-",GATO,GATO.TO
GDI Integrated Facility Services Inc-,GDI,GDI.TO
Gear Energy Ltd-,GXE,GXE.TO
Generation Mining Limited,GENM,GENM.TO
Genesis Land Development Corp-,GDC,GDC.TO
Geodrill Limited,GEO,GEO.TO
George Weston Limited,WN,WN.TO
GFL Environmental Inc-,GFL,GFL.TO
Gibson Energy Inc-,GEI,GEI.TO
Gildan Activewear Inc-,GIL,GIL.TO
Givex Corp-,GIVX,GIVX.TO
Glacier Media Inc-,GVC,GVC.TO
GLG Life Tech Corporation,GLG,GLG.TO
Global Atomic Corporation,GLO,GLO.TO
Global Dividend Growth Split Corp-,GDV,GDV.TO
Global Education Communities Corp-,GEC,GEC.TO
Globex Mining Enterprises Inc-,GMX,GMX.TO
goeasy Ltd-,GSY,GSY.TO
GoGold Resources Inc-,GGD,GGD.TO
Gold Mountain Mining Corp-,GMTN,GMTN.TO
Gold Springs Resource Corp-,GRC,GRC.TO
Golden Minerals Company,AUMN,AUMN.TO
Goldgroup Mining Inc-,GGA,GGA.TO
GoldMining Inc-,GOLD,GOLD.TO
GoldMoney Inc-,XAU,XAU.TO
Goodfellow Inc-,GDL,GDL.TO
Goodfood Market Corp-,FOOD,FOOD.TO
Gran Tierra Energy Inc-,GTE,GTE.TO
Great-West Lifeco Inc-,GWO,GWO.TO
GreenFirst Forest Products Inc-,GFP,GFP.TO
Greenlane Renewables Inc-,GRN,GRN.TO
Guardian Capital Group Limited,GCG,GCG-A.TO
Guardian Directed Equity Path Portfolio,GDEP,GDEP.TO
Guardian Directed Premium Yield Portfolio,GDPY,GDPY.TO
GURU Organic Energy Corp-,GURU,GURU.TO
Knight Therapeutics Inc-,GUD,GUD.TO
NanoXplore Inc-,GRA,GRA.TO
Tantalus Systems Holding Inc-,GRID,GRID.TO
American Hotel Income Properties REIT LP,HOT-DB-V,HOT-UN.TO
Haivision Systems Inc-,HAI,HAI.TO
Hamilton Thorne Ltd-,HTL,HTL.TO
Hammond Manufacturing Company Limited,HMM-A,HMM-A.TO
Hammond Power Solutions Inc-,HPS-A,HPS-A.TO
Headwater Exploration Inc-,HWX,HWX.TO
HealWELL AI Inc-,AIDX,AIDX.TO
Helios Fairfax Partners Corporation,HFPC-U,HFPC-U.TO
