Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020
GOOS.TO,Canada Goose Holdings Inc.,Consumer Cyclical,1.217e-09,1.0984e-09,9.037e-10
CGI.TO,Canadian General Investments Ord,Financial Services,-2.52047e-10,2.67863e-10,2.9439e-10
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,2.3290000000000002e-08,2.1764e-08,1.9959999999999998e-08
LFE.TO,Canadian Life Companies Split Corp.,Financial Services,4.009728e-12,2.7592246e-11,-2.1178075000000002e-11
CNR.TO,Canadian National Railway Company,Industrials,1.6828e-08,1.7107000000000002e-08,1.4477e-08
CNQ.TO,Canadian Natural Resources Limited,Energy,4.953e-08,3.2854000000000004e-08,1.7491e-08
CP.TO,Canadian Pacific Kansas City Limited,Industrials,8.814e-09,7.995e-09,7.71e-09
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,1.7810599999999998e-08,1.62921e-08,1.4871000000000001e-08
CU.TO,Canadian Utilities Limited,Utilities,4.048e-09,3.515e-09,3.2330000000000003e-09
CWB.TO,Canadian Western Bank,Financial Services,1.112574e-09,1.076287e-09,1.016033e-09
CCM.TO,Canagold Resources Ltd.,Basic Materials,0.0,0.0,0.0
CFP.TO,Canfor Corporation,Basic Materials,7.4267e-09,7.6849e-09,5.4544e-09
CFX.TO,Canfor Pulp Products Inc.,Basic Materials,1.0855999999999998e-09,1.1449e-09,9.905e-10
ICE.TO,Canlan Ice Sports Corp.,Consumer Cyclical,7.3728e-11,4.0392999999999996e-11,3.9259e-11
WEED.TO,Canopy Growth Corporation,Healthcare,4.02904e-10,5.10321e-10,5.46649e-10
CPX.TO,Capital Power Corporation,Utilities,2.799e-09,1.8569999999999999e-09,1.881e-09
CS.TO,Capstone Copper Corp.,Basic Materials,1.2960239999999999e-09,7.947689999999999e-10,4.5376299999999997e-10
CJ.TO,Cardinal Energy Ltd.,Energy,7.4184e-10,4.48755e-10,2.26455e-10
CRDL.TO,Cardiol Therapeutics Inc.,Healthcare,0.0,7.876e-14,0.0
CRRX.TO,CareRx Corporation,Healthcare,3.81727e-10,2.6262999999999995e-10,1.62196e-10
CJT.TO,Cargojet Inc.,Industrials,9.798999999999999e-10,7.578e-10,6.685e-10
CUP-U.TO,"Caribbean Utilities Company, Ltd.",Utilities,2.67336e-10,1.98478e-10,1.7744999999999997e-10
CAS.TO,Cascades Inc.,Consumer Cyclical,4.466e-09,3.956e-09,4.105e-09
CET.TO,Cathedral Energy Services Ltd.,Energy,2.98401e-10,6.2524e-11,4.0574e-11
CCL-B.TO,CCL Industries Inc.,Consumer Cyclical,6.3822000000000006e-09,5.732800000000001e-09,5.2423e-09
CLS.TO,Celestica Inc.,Technology,7.25e-09,5.634699999999999e-09,5.748100000000001e-09
CVE.TO,Cenovus Energy Inc.,Energy,7.1765e-08,4.8811e-08,1.3914e-08
CEE.TO,Centamin plc,Basic Materials,7.88424e-10,7.333060000000001e-10,8.287369999999999e-10
CG.TO,Centerra Gold Inc.,Basic Materials,8.50194e-10,9.00141e-10,7.21262e-10
CNT.TO,Century Global Commodities Corporation,Consumer Defensive,1.1258530000000001e-11,8.718427999999999e-12,8.802892e-12
CRP.TO,Ceres Global Ag Corp.,Consumer Defensive,1.0367029999999999e-09,1.060941e-09,7.482039999999999e-10
CDAY.TO,Dayforce Inc.,Technology,1.2462e-09,1.0242e-09,8.425e-10
CEU.TO,CES Energy Solutions Corp.,Energy,1.922319e-09,1.19642e-09,8.88047e-10
GIB-A.TO,CGI Inc.,Technology,1.4296360000000002e-08,1.2867200999999998e-08,1.2126793e-08
CIA.TO,Champion Iron Limited,Basic Materials,1.395088e-09,1.460806e-09,1.2818149999999999e-09
CWEB.TO,"Charlotte's Web Holdings, Inc.",Healthcare,7.413899999999999e-11,9.6092e-11,9.5226e-11
CSH-UN.TO,Chartwell Retirement Residences,Real Estate,7.068010000000001e-10,6.76355e-10,9.24715e-10
CHW.TO,Chesswood Group Limited,Financial Services,2.0152199999999998e-10,1.0742200000000001e-10,8.889400000000001e-11
CGG.TO,China Gold International Resources Corp. Ltd.,Basic Materials,1.104949e-09,1.137356e-09,8.640320000000001e-10
CHR.TO,Chorus Aviation Inc.,Industrials,1.595804e-09,1.0232749999999999e-09,9.487210000000001e-10
CIX.TO,CI Financial Corp.,Financial Services,2.426343e-09,2.1696289999999998e-09,2.052784e-09
CGAA.TO,CI Global Asset Allocation Private Pool ETF,Exchange Traded Fund,,,
CINF.TO,CI Global Infrastructure Private Pool,Exchange Traded Fund,,,
CGRA.TO,CI Global Real Asset Private Pool,Exchange Traded Fund,,,
CGRE.TO,CI Global REIT Private Pool,Exchange Traded Fund,,,
CCRE.TO,CIBC Core Fixed Income Pool,Exchange Traded Fund,,,
CGX.TO,Cineplex Inc.,Communication Services,1.268562e-09,6.566690000000001e-10,4.18263e-10
CPH.TO,Cipher Pharmaceuticals Inc.,Healthcare,2.0675000000000002e-11,2.1943e-11,2.1606999999999997e-11
CVG.TO,Clairvest Group Inc.,Financial Services,1.3176e-10,4.2035199999999997e-10,1.8123500000000002e-10
CKI.TO,Clarke Inc.,Consumer Cyclical,5.9966e-11,6.0017e-11,2.0056e-11
CCA.TO,Cogeco Communications Inc.,Communication Services,2.984128e-09,2.900654e-09,2.5104530000000003e-09
GCL.TO,Colabor Group Inc.,Consumer Defensive,5.74071e-10,4.77004e-10,4.61319e-10
CNL.TO,Collective Mining Ltd.,Basic Materials,0.0,0.0,0.0
CIGI.TO,Colliers International Group Inc.,Real Estate,4.459487e-09,4.089128999999999e-09,2.786857e-09
CMG.TO,Computer Modelling Group Ltd.,Technology,7.3846e-11,6.6202e-11,6.7363e-11
CDR.TO,Condor Energies Inc.,Energy,3.6070000000000003e-12,8.830000000000001e-13,2.7799999999999995e-12
COG.TO,Condor Gold Plc,Basic Materials,0.0,0.0,0.0
CFF.TO,Conifex Timber Inc.,Basic Materials,2.3126679999999998e-10,2.505334e-10,1.287108e-10
CSU.TO,Constellation Software Inc.,Technology,6.6220000000000005e-09,5.107000000000001e-09,3.969000000000001e-09
CTS.TO,Converge Technology Solutions Corp.,Technology,2.164647e-09,1.329737e-09,9.48799e-10
CPLF.TO,Copperleaf Technologies Inc.,Technology,7.3385e-11,6.9283e-11,4.4519741000000004e-11
CSW-A.TO,Corby Spirit and Wine Limited,Consumer Defensive,1.62955e-10,1.59393e-10,1.59778e-10
