Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020
AIDX.TO,Healwell AI Inc.,Healthcare,53222000.0,47817000.0,38573000.0
ATRL.TO,SNC-Lavalin Group Inc.,Industrials,7549031000.0,7371252000.0,7007501000.0
BTO.TO,B2Gold Corp.,Basic Materials,1732590000.0,1762264000.0,1788928000.0
BDGI.TO,Badger Infrastructure Solutions Ltd.,Industrials,570812000.0,453910000.0,438083848.30139
BLDP.TO,Ballard Power Systems Inc.,Industrials,83786000.0,104505000.0,103877000.0
BMO.TO,Bank of Montreal,Financial Services,33055000000.0,26259000000.0,26909000000.0
BNS.TO,The Bank of Nova Scotia,Financial Services,31787000000.0,31509000000.0,30913000000.0
BLCO.TO,Bausch + Lomb Corporation,Healthcare,3768000000.0,3765000000.0,3412000000.0
BHC.TO,Bausch Health Companies Inc.,Healthcare,8124000000.0,8434000000.0,8027000000.0
BYL.TO,Baylin Technologies Inc.,Technology,120860000.0,102494000.0,119739000.0
BTE.TO,Baytex Energy Corp.,Energy,2889045000.0,1868195000.0,975477000.0
BCE.TO,BCE Inc.,Communication Services,24174000000.0,23449000000.0,22883000000.0
BEK-B.TO,The Becker Milk Company Limited,Real Estate,2712093.0,2630175.0,3024970.0
BSX.TO,Belo Sun Mining Corp,Basic Materials,0.0,0.0,0.0
BNG.TO,Bengal Energy Ltd.,Energy,8149000.0,7650000.0,5234000.0
BNK.TO,Big Banc Split Corp.,Financial Services,-3960770.0,13358397.0,7440920.0
PRM.TO,Big Pharma Split Corp.,Financial Services,3710644.0,5359368.0,589257.0
BR.TO,Big Rock Brewery Inc.,Consumer Defensive,47098000.0,45982000.0,43984000.0
BIK-PA.TO,Bip Investment Corporation,Financial Services,N/A,N/A,N/A
BIR.TO,Birchcliff Energy Ltd.,Energy,1358986000.0,953128000.0,542192000.0
BDT.TO,Bird Construction Inc.,Industrials,2377549000.0,2220026000.0,1504432000.0
BITF.TO,Bitfarms Ltd.,Financial Services,142428000.0,169491000.0,34703000.0
