Ticker,Company,Sector,Revenue_2022,Revenue_2021,Revenue_2020,opcashflw_2023,opcashflw_2022,opcashflw_2021,total_assets_2023,total_assets_2022,total_assets_2021,equity_2023,equity_2022,equity_2021,liability_2023,liability_2022,liability_2021
TRZ.TO,Transat A.T. Inc.,Consumer Cyclical,3048352000.0,1642038000.0,124818000.0,321750000.0,-177854000.0,-518444000.0,2569370000.0,2271131000.0,1897658000.0,-779039000.0,-750180000.0,-315110000.0,-779039000.0,-750180000.0,-315110000.0
TCL-A.TO,Transcontinental Inc.,Consumer Cyclical,2940600000.0,2956100000.0,2643400000.0,472300000.0,220800000.0,315300000.0,3700300000.0,3801000000.0,3612900000.0,1906200000.0,1882000000.0,1764300000.0,1906200000.0,1882000000.0,1764300000.0
TML.TO,Treasury Metals Inc.,Basic Materials,0.0,0.0,0.0,-17785255.0,-17824772.0,-4007268.0,123737443.0,132166170.0,182889615.0,104085358.0,122761442.0,173052737.0,104085358.0,122761442.0,173052737.0
TSL.TO,Tree Island Steel Ltd.,Basic Materials,338434000.0,301848000.0,215894000.0,43375000.0,11873000.0,24675000.0,176326000.0,225806000.0,146549000.0,128096000.0,132621000.0,51069000.0,128096000.0,132621000.0,51069000.0
TCW.TO,Trican Well Service Ltd.,Energy,866295000.0,562479000.0,397019000.0,152232000.0,74096000.0,70766000.0,671121000.0,577839000.0,568884000.0,504670000.0,489400000.0,497946000.0,504670000.0,489400000.0,497946000.0
TCN.TO,Tricon Residential Inc.,Real Estate,805673000.0,496608000.0,401072000.0,270269000.0,118917000.0,143013000.0,12450946000.0,9148617000.0,7174834000.0,3797025000.0,3061069000.0,1743238000.0,3797025000.0,3061069000.0,1743238000.0
TMQ.TO,Trilogy Metals Inc.,Basic Materials,0.0,0.0,0.0,-3935000.0,-5117000.0,-8251000.0,145995000.0,167305000.0,185265000.0,145428000.0,166039000.0,183811000.0,145428000.0,166039000.0,183811000.0
TFPM.TO,Triple Flag Precious Metals Corp.,Basic Materials,151885000.0,150421000.0,112588000.0,118376000.0,120015000.0,84377000.0,1337031000.0,1303409000.0,1300919000.0,1318479000.0,1294622000.0,1018943000.0,1318479000.0,1294622000.0,1018943000.0
TSU.TO,Trisura Group Ltd.,Financial Services,526102000.0,349877000.0,226632000.0,150930000.0,306849000.0,83343000.0,2798865000.0,3000354000.0,1706732000.0,493651000.0,358789000.0,289864000.0,493651000.0,358789000.0,289864000.0
TLG.TO,Troilus Gold Corp.,Basic Materials,0.0,0.0,0.0,-31111615.0,-42426530.0,-49849870.0,36826900.0,30720812.0,66149500.0,29883194.0,17929613.0,46934939.0,29883194.0,17929613.0,46934939.0
TC.TO,Tucows Inc.,Technology,321142000.0,304337000.0,311202000.0,19876000.0,29637000.0,36081000.0,664747000.0,539596000.0,451903000.0,96657000.0,115092000.0,104698000.0,96657000.0,115092000.0,104698000.0
TVA-B.TO,TVA Group Inc.,Communication Services,594409000.0,622834000.0,508144000.0,28054000.0,42885000.0,37918000.0,676070000.0,661091000.0,589191000.0,393376000.0,380464000.0,312619000.0,393376000.0,380464000.0,312619000.0
TWC.TO,TWC Enterprises Limited,Consumer Cyclical,190806000.0,178417000.0,131801000.0,12028000.0,67730000.0,32978000.0,727343000.0,746806000.0,632382000.0,524049000.0,503388000.0,414369000.0,524049000.0,503388000.0,414369000.0
UNI.TO,Unisync Corp.,Consumer Cyclical,103599811.0,96306766.0,86285179.0,-3320921.0,-3082155.0,9168087.0,109420771.0,104363765.0,88019763.0,19015809.0,28297370.0,29291359.0,19015809.0,28297370.0,29291359.0
UNC.TO,United Corporations Limited,Financial Services,20379000.0,-21630000.0,488208000.0,119068000.0,-713000.0,85995000.0,1951850000.0,2051470000.0,2152796000.0,1911779000.0,2018799000.0,2072040000.0,1911779000.0,2018799000.0,2072040000.0
URE.TO,Ur-Energy Inc.,Energy,19000.0,16000.0,8316000.0,-18091000.0,-11698000.0,-8443000.0,107895000.0,120839000.0,81830000.0,62499000.0,69386000.0,34096000.0,62499000.0,69386000.0,34096000.0
URC.TO,Uranium Royalty Corp.,Energy,13854000.0,0.0,0.0,-11462000.0,-68802000.0,-13709000.0,185788000.0,178173000.0,76183000.0,175369000.0,164636000.0,75636000.0,175369000.0,164636000.0,75636000.0
URB.TO,Urbana Corporation,Financial Services,23442370.0,69703546.0,16000346.0,2036056.0,6778496.0,16397256.0,367126050.0,348099367.0,288334640.0,309602188.0,301139678.0,249169286.0,309602188.0,301139678.0,249169286.0
VNP.TO,5N Plus Inc.,Basic Materials,264223000.0,209990000.0,177192000.0,23741000.0,10270000.0,36805000.0,347985000.0,373590000.0,226678000.0,112776000.0,136247000.0,118376000.0,112776000.0,136247000.0,118376000.0
VPH.TO,Valeo Pharma Inc.,Healthcare,53910000.0,27745000.0,13557000.0,-15695000.0,-28503000.0,-12315000.0,41207000.0,58265000.0,21030000.0,-40337000.0,-17848000.0,2053000.0,-40337000.0,-17848000.0,2053000.0
VLE.TO,Valeura Energy Inc.,Energy,0.0,3126000.0,8547000.0,-17870000.0,-3163000.0,-145000.0,64010000.0,45223000.0,55044000.0,28457000.0,41840000.0,42578000.0,28457000.0,41840000.0,42578000.0
VCM.TO,Vecima Networks Inc.,Technology,303437000.0,186814000.0,124177000.0,-11005000.0,3333000.0,20047000.0,331686000.0,262608000.0,214732000.0,217653000.0,179732000.0,174920000.0,217653000.0,179732000.0,174920000.0
VLN.TO,Velan Inc.,Industrials,370429000.0,411242000.0,302063000.0,522000.0,17868000.0,-9095000.0,477857000.0,508428000.0,580833000.0,200835000.0,265510000.0,300221000.0,200835000.0,265510000.0,300221000.0
VET.TO,Vermilion Energy Inc.,Energy,3721228000.0,2226852000.0,1247398000.0,1814220000.0,834453000.0,500152000.0,6991058000.0,5905323000.0,4109139000.0,3401058000.0,2066145000.0,925402000.0,3401058000.0,2066145000.0,925402000.0
VBNK.TO,VersaBank,Financial Services,108635000.0,82392000.0,65357000.0,94717000.0,-32654000.0,-108305000.0,4201610000.0,3265998000.0,2415086000.0,377158000.0,350675000.0,332106000.0,377158000.0,350675000.0,332106000.0
VGCX.TO,Victoria Gold Corp.,Basic Materials,321843000.0,356454000.0,178747827.0,83643000.0,132098000.0,112098161.0,1016806000.0,891386000.0,776760617.0,544186000.0,493131000.0,372067263.0,544186000.0,493131000.0,372067263.0
VQS.TO,VIQ Solutions Inc.,Technology,45843929.0,31046812.0,31749693.0,-2335876.0,-8238407.0,3423083.0,35544882.0,48016005.0,42719659.0,15643410.0,22089558.0,19786399.0,15643410.0,22089558.0,19786399.0
VGZ.TO,Vista Gold Corp.,Basic Materials,0.0,0.0,0.0,-7413000.0,-10620000.0,-6955000.0,10986000.0,16343000.0,17230000.0,10029000.0,14294000.0,15851000.0,10029000.0,14294000.0,15851000.0
VHI.TO,Vitalhub Corp.,Healthcare,39970814.0,24664593.0,13794192.0,6121909.0,402355.0,405141.0,106186744.0,72771790.0,64082096.0,75398443.0,54824745.0,50310683.0,75398443.0,54824745.0,50310683.0
WJX.TO,Wajax Corporation,Industrials,1962822000.0,1637281000.0,1422648000.0,69132000.0,190145000.0,118807000.0,1249882000.0,1080847000.0,981390000.0,449770000.0,389913000.0,325648000.0,449770000.0,389913000.0,325648000.0
WFC.TO,Wall Financial Corporation,Real Estate,144352178.0,241048774.0,191558440.0,44739271.0,141637932.0,4067777.0,874728957.0,874063426.0,973493565.0,288027654.0,247464457.0,278704608.0,288027654.0,247464457.0,278704608.0
WM.TO,Wallbridge Mining Company Limited,Basic Materials,0.0,0.0,0.0,-4401313.0,-2550369.0,-9094839.0,320119345.0,350090628.0,332756816.0,289232688.0,320114539.0,313444339.0,289232688.0,320114539.0,313444339.0
